BAIRRO,NATUREZA,T1,T2,T3,T4
RA VI - PLANALTINA,HOMICÍDIO,14,17,7,10
RA VI - PLANALTINA,LATROCÍNIO,1,0,0,0
RA VI - PLANALTINA,LESÃO CORPORAL SEG. DE MORTE,2,1,0,1
RA VI - PLANALTINA,ROUBO A TRANSEUNTE,566,613,476,486
RA VI - PLANALTINA,ROUBO DE VEÍCULO,64,52,56,65
RA VI - PLANALTINA,ROUBO EM COLETIVO,16,28,24,2
RA VI - PLANALTINA,ROUBO EM COMÉRCIO *,32,38,24,25
RA VI - PLANALTINA,ROUBO EM RESIDÊNCIA,13,18,14,8
RA VI - PLANALTINA,FURTO EM VEÍCULO,58,54,78,65
RA VI - PLANALTINA,TENTATIVA DE HOMICÍDIO,24,24,8,18
RA VI - PLANALTINA,TENTATIVA DE LATROCÍNIO,6,3,1,6
RA VI - PLANALTINA,ESTUPRO,13,8,23,9
RA VI - PLANALTINA,FURTO A TRANSEUNTE,33,35,40,41
RA VI - PLANALTINA,TRÁFICO DE DROGAS,37,38,28,42
RA VI - PLANALTINA,USO E PORTE DE DROGAS,108,86,62,62
RA VI - PLANALTINA,POSSE/PORTE DE ARMA,32,34,42,32
RA VI - PLANALTINA,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,103,103,92,106
